,Rule code,Rule message,Affected fields
250,157,Child is aged 4 years or over at the beginning of the year or 16 years or under at the end of the year and Strengths and Difficulties Questionnaire (SDQ) 1 has been recorded as the reason for no Strengths and Difficulties Questionnaire (SDQ) score.,"['SDQ_REASON', 'DOB']"
251,214,Placement location information not required.,"['PL_POST', 'URN']"
252,445,D1 is not a valid code for episodes starting after December 2005.,"['LS', 'DECOM']"
253,169,Local Authority (LA) of placement is not valid or is missing. Please check a valid postcode has been entered.,['PL_LA']
254,384,A child receiving respite care cannot be in a long-term foster placement ,"['PLACE', 'LS']"
255,1011,This child is recorded as having his/her care transferred to another local authority for the final episode and therefore should not have the care leaver information completed.,"['IN_TOUCH', 'ACTIV', 'ACCOM']"
256,391,"Young person was not 17, 18, 19, 20 or 21 during the current collection year. ","['DOB', 'IN_TOUCH', 'ACTIV', 'ACCOM']"
257,460,"Reason episode ceased is that child stayed with current carers at age 18 (or above), but child is aged under 18.","['DEC', 'REC']"
258,562,Episode commenced before the start of the current collection year but there is a missing continuous episode in the previous year.,['DECOM']
259,432,The child ceased to be looked after at the end of the previous episode but the reason for the new episode is not started to be looked after.,['RNE']
260,224,The Ofsted Unique reference number (URN) provided for the child's placement does not match the placement provider recorded.,['PLACE_PROVIDER']
261,119,"If the decision is made that a child should no longer be placed for adoption, then the date of this decision and the reason why this decision was made must be completed.","['REASON_PLACED_CEASED', 'DATE_PLACED_CEASED']"
262,577,Child ceased to be looked after but there is a missing/away from placement without authorisation period without an end date.,['MIS_END']
263,352,Child who started to be looked after was aged 18 or over.,"['DECOM', 'RNE']"
264,193,Child not identified as having a substance misuse problem but at least one of the two additional items on whether an intervention were offered and received have been completed.,"['SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
265,207,Mother status for the current year disagrees with the mother status already recorded for this child.,['MOTHER']
266,521,Date of local authority's decision (LA) that adoption is in the best interests of the child (date should be placed) must be on or prior to the date the child is placed for adoption.,"['PLACE', 'DECOM', 'DATE_INT']"
267,525,A child for whom the decision to be placed for adoption has been reversed cannot be adopted during the year.,"['DATE_PLACED_CEASED', 'DATE_INT', 'DATE_MATCH', 'FOSTER_CARE', 'NB_ADOPTR', 'SEX_ADOPTR', 'LS_ADOPTR']"
268,451,"Child is still freed for adoption, but freeing orders could not be applied for since 30 December 2005.","['DEC', 'REC', 'LS']"
269,372,Child in youth custody or prison should be at least 10.,"['DECOM', 'PLACE']"
270,426,A child receiving respite care cannot be recorded under a legal status of V3 and V4 in the same year.,['LS']
271,INT18,Internal Check: DOB in UASC is different to DOB in Header.,['DOB']
272,392b,"Child is looked after but no postcodes are recorded. [NOTE: This check may result in false positives for children formerly UASC, particularly if current & prior year UASC data not loaded]","['HOME_POST', 'PL_POST']"
273,INT14,Internal Check: DOB in OC2 is different to DOB in Header.,['DOB']
274,582,"Child is showing as ceasing to be looked after due to adoption, but the date of adoption is the same as the date reported for being matched with adopters. In most circumstances we expect the date the child is matched with adopters to be before the date of adoption.","['DEC', 'DATE_MATCH']"
275,411,Placement location code disagrees with LA of placement.,['PL_LOCATION']
276,601,The additional fields relating to adoption have not been completed although the episode data shows that the child was adopted during the year.,"['REC', 'DATE_INT', 'DATE_MATCH', 'FOSTER_CARE', 'NB_ADOPTR', 'SEX_ADOPTR', 'LS_ADOPTR']"
277,186,Children aged 4 or over at the start of the year and children aged under 17 at the end of the year and who have been looked after for at least 12 months continuously should have a Strengths and Difficulties (SDQ) score completed.,['SDQ_SCORE']
278,567,The date that the missing episode or episode that the child was away from placement without authorisation ended is before the date that it started.,"['MIS_START', 'MIS_END']"
279,228,Ofsted Unique reference number (URN) is not valid for the episode end date [NOTE: may give false positives on open episodes at providers who close during the year],"['URN', 'DEC']"
280,336,Child does not have a foster placement immediately prior to being placed for adoption.,['PLACE']
281,433,"The reason for new episode suggests that this is a continuation episode, but the episode does not start on the same day as the last episode finished.","['RNE', 'DECOM']"
282,358,Child with this legal status should not be under 10.,"['DECOM', 'DOB', 'LS']"
283,180,Data entry for the strengths and difficulties questionnaire (SDQ) score is invalid.,['SDQ_SCORE']
284,222,Ofsted Unique reference number (URN) should not be recorded for this placement type.,['URN']
285,520,Data entry on the legal status of adopters shows different gender married couple but data entry on genders of adopters shows it as a same gender couple.,"['LS_ADOPTR', 'SEX_ADOPTR']"
286,178,Placement provider code is not a valid code.,['PLACE_PROVIDER']
287,345,"The data collection record shows the local authority is in touch with this young person, but activity and/or accommodation data items are zero.","['IN_TOUCH', 'ACTIV', 'ACCOM']"
288,187,Child cannot be looked after continuously for 12 months at 31 March (OC2) and have any of adoption or care leavers returns completed.,"['DATE_INT', 'DATE_MATCH', 'FOSTER_CARE', 'NB_ADOPTR', 'SEX_ADOPTR', 'LS_ADOPTR', 'IN_TOUCH', 'ACTIV', 'ACCOM']"
289,INT35,Internal Check: Child should only exist once in PrevPerm.,['CHILD']
290,503F,The Ofsted URN in the  first episode does not match open episode at end of last year.,['URN']
291,437,Reason episode ceased is child has died or is aged 18 or over but there are further episodes.,['REC']
292,SW10STG2,A new social worker episode has started before the end date of the previous social worker episode.,['SW_DECOM']
293,SW14STG2,Social worker episode date ceased is blank.,['SW_DEC']
294,SW06STG2,Social worker episode data should be within the social worker data reporting year.,['SW_DECOM']
295,SW09STG2,Social worker episode appears to have lasted for less than 24 hours.,"['SW_DECOM', 'SW_DEC']"
296,SW01STG1,"Child looked after on 31 March, but no social worker episode information is reported",['DEC']
297,SW07STG2,"Social worker episode end date should be on or after the start of the social worker reporting period, and should be on or before the collection end date.",['SW_DEC']
298,SW11STG2,Social worker episode has ended before 31 March and no subsequent social worker episode has been provided.,['SW_DEC']
299,SW108STG2,"A new social worker episode has started, but the previous episode has not ended.",['SW_DEC']
300,SW02STG1,Social worker ID does not begin with the characters ‘SW’ or ‘XX’.,['SW_ID']
301,SW13STG1,The reason for social worker change is either not valid or has not been entered.,['SW_REASON']
302,SW03STG1,"For each social worker episode, information should be complete.","['SW_ID', 'SW_DECOM', 'SW_REASON']"
303,SW12STG2,"If a child is looked after on 31 March then all social worker episodes for the full previous year should be reported, even those whilst they were not looked after",['SW_DECOM']
304,1016,"Care leaver information is not required for 17- or 18-year olds who cease to be looked after, after their birthday.","['IN_TOUCH', 'ACTIV', 'ACCOM']"
305,SW04STG1,Date social worker episode began is not a valid date..,['SW_DECOM']
306,SW05STG1,Date social worker episode began is not a valid date.,['SW_DEC']
307,347,"Care leavers aged under 18 years, can not be accommodated in a Foyer.","['PLACE', 'DEC', 'URN']"
308,SW16aSTG2,The social worker reason episode changed does not match the open episode at the end of last year.,['SW_ID']
309,SW16cSTG2,The social worker reason episode changed does not match the open episode at the end of last year.,['SW_REASON']
310,SW15STG2,Reason for social worker change is missing.,['SW_REASON']
311,SW16bSTG2,The social worker episode start date does not match the open episode at the end of last year.,['SW_DECOM']
